timestamp_gmt,bid_size,bid,ask,ask_size
2020-04-28 08:24:29,104010,7686.00000000,7686.50000000,2940
2020-04-28 08:24:39,79610,7686.00000000,7686.50000000,6370
2020-04-28 08:24:49,79610,7686.00000000,7686.50000000,7970
2020-04-28 08:24:59,118850,7687.00000000,7687.50000000,70
2020-04-28 08:25:09,12120,7689.50000000,7690.00000000,67740
2020-04-28 08:25:19,34590,7689.00000000,7689.50000000,19000
2020-04-28 08:25:29,13730,7689.00000000,7689.50000000,33000
2020-04-28 08:25:39,72760,7689.00000000,7689.50000000,600
2020-04-28 08:25:49,74170,7690.00000000,7690.50000000,12000
2020-04-28 08:25:59,26780,7690.00000000,7690.50000000,29300
2020-04-28 08:26:09,15860,7690.00000000,7690.50000000,39700
2020-04-28 08:26:19,41650,7685.50000000,7686.00000000,5800
2020-04-28 08:26:29,90250,7685.50000000,7686.00000000,600
2020-04-28 08:26:39,98560,7685.50000000,7686.00000000,490
2020-04-28 08:26:49,42750,7687.00000000,7687.50000000,28690
2020-04-28 08:26:59,44260,7687.00000000,7687.50000000,12590
2020-04-28 08:27:09,16660,7687.00000000,7687.50000000,27090
2020-04-28 08:27:19,10,7687.00000000,7687.50000000,63510
2020-04-28 08:27:29,50,7687.00000000,7687.50000000,78860
2020-04-28 08:27:39,38610,7687.00000000,7687.50000000,17910
2020-04-28 08:27:49,68910,7687.00000000,7687.50000000,19300
2020-04-28 08:27:59,2010,7687.00000000,7687.50000000,49700
2020-04-28 08:28:09,2010,7687.00000000,7687.50000000,64410
2020-04-28 08:28:19,2010,7687.00000000,7687.50000000,64410
2020-04-28 08:28:29,2080,7687.00000000,7687.50000000,64480
2020-04-28 08:28:39,2080,7687.00000000,7687.50000000,26640
2020-04-28 08:28:49,1850,7687.00000000,7687.50000000,59810
2020-04-28 08:28:59,1800,7687.00000000,7687.50000000,60880
2020-04-28 08:29:09,1800,7687.00000000,7687.50000000,53680
2020-04-28 08:29:19,1850,7687.00000000,7687.50000000,43510
2020-04-28 08:29:29,1850,7687.00000000,7687.50000000,43110
2020-04-28 08:29:39,150,7687.00000000,7687.50000000,82500
2020-04-28 08:29:49,140,7687.00000000,7687.50000000,82500
2020-04-28 08:29:59,20350,7687.00000000,7687.50000000,24210
2020-04-28 08:30:09,9250,7687.00000000,7687.50000000,25710
2020-04-28 08:30:19,24150,7687.00000000,7687.50000000,21910
